,County,City,year,U Total,U Occupied,Pop Total
0,Alameda,Alameda,2010,32351.0,30123.0,73812.0
1,Alameda,Alameda,2011,32312.0,30114.0,74517.0
2,Alameda,Alameda,2012,32429.0,30156.0,75272.0
3,Alameda,Alameda,2013,32429.0,30322.0,75911.0
4,Alameda,Alameda,2014,32430.0,30265.0,76468.0
5,Alameda,Alameda,2015,32438.0,30289.0,77254.0
6,Alameda,Alameda,2016,32763.0,30695.0,78750.0
7,Alameda,Alameda,2017,32863.0,30580.0,78945.0
8,Alameda,Alameda,2018,32987.0,30619.0,78980.0
9,Alameda,Alameda,2019,33120.0,30742.0,79316.0
10,Alameda,Albany,2010,6712.0,6309.0,18539.0
11,Alameda,Albany,2011,6712.0,6314.0,18446.0
12,Alameda,Albany,2012,6717.0,6329.0,18628.0
13,Alameda,Albany,2013,6721.0,6361.0,18613.0
14,Alameda,Albany,2014,6722.0,6342.0,18584.0
15,Alameda,Albany,2015,6727.0,6337.0,18717.0
16,Alameda,Albany,2016,6732.0,6365.0,18749.0
17,Alameda,Albany,2017,6742.0,6375.0,18861.0
18,Alameda,Albany,2018,6930.0,6536.0,19216.0
19,Alameda,Albany,2019,6947.0,6552.0,19393.0
20,Alameda,Berkeley,2010,49454.0,46029.0,112580.0
21,Alameda,Berkeley,2011,49794.0,46350.0,114514.0
22,Alameda,Berkeley,2012,49774.0,46342.0,115515.0
23,Alameda,Berkeley,2013,49784.0,46379.0,116285.0
24,Alameda,Berkeley,2014,49869.0,46438.0,117754.0
25,Alameda,Berkeley,2015,50036.0,46584.0,119400.0
26,Alameda,Berkeley,2016,50180.0,46741.0,120012.0
27,Alameda,Berkeley,2017,50419.0,46914.0,121328.0
28,Alameda,Berkeley,2018,50953.0,47394.0,122369.0
29,Alameda,Berkeley,2019,51179.0,47604.0,123328.0
30,Alameda,Dublin,2010,15782.0,14913.0,46036.0
31,Alameda,Dublin,2011,16064.0,15201.0,46501.0
32,Alameda,Dublin,2012,16431.0,15596.0,47249.0
33,Alameda,Dublin,2013,17516.0,16759.0,50669.0
34,Alameda,Dublin,2014,18640.0,17726.0,53949.0
35,Alameda,Dublin,2015,19551.0,18542.0,56398.0
36,Alameda,Dublin,2016,20095.0,19184.0,57879.0
37,Alameda,Dublin,2017,20931.0,19703.0,59500.0
38,Alameda,Dublin,2018,21937.0,20553.0,61874.0
39,Alameda,Dublin,2019,22950.0,21502.0,64577.0
40,Alameda,Emeryville,2010,6646.0,5694.0,10080.0
41,Alameda,Emeryville,2011,6646.0,5722.0,10218.0
42,Alameda,Emeryville,2012,6652.0,5789.0,10426.0
43,Alameda,Emeryville,2013,6652.0,5954.0,10774.0
44,Alameda,Emeryville,2014,6719.0,5895.0,10777.0
45,Alameda,Emeryville,2015,6719.0,5838.0,10795.0
46,Alameda,Emeryville,2016,7125.0,6336.0,11738.0
47,Alameda,Emeryville,2017,7169.0,6375.0,11883.0
48,Alameda,Emeryville,2018,7170.0,6376.0,11871.0
49,Alameda,Emeryville,2019,7176.0,6381.0,11885.0
50,Alameda,Fremont,2010,73989.0,71004.0,214089.0
51,Alameda,Fremont,2011,74220.0,71278.0,216778.0
52,Alameda,Fremont,2012,74425.0,71590.0,219617.0
53,Alameda,Fremont,2013,74679.0,72143.0,222397.0
54,Alameda,Fremont,2014,75186.0,72411.0,225486.0
55,Alameda,Fremont,2015,75313.0,72426.0,228119.0
56,Alameda,Fremont,2016,75386.0,72753.0,229687.0
57,Alameda,Fremont,2017,75763.0,72569.0,230525.0
58,Alameda,Fremont,2018,76279.0,72879.0,231252.0
59,Alameda,Fremont,2019,76681.0,73263.0,232532.0
60,Alameda,Hayward,2010,48296.0,45365.0,144186.0
61,Alameda,Hayward,2011,48406.0,45530.0,146112.0
62,Alameda,Hayward,2012,48671.0,45914.0,148675.0
63,Alameda,Hayward,2013,48900.0,46493.0,151219.0
64,Alameda,Hayward,2014,49040.0,46367.0,152486.0
65,Alameda,Hayward,2015,49184.0,46377.0,154321.0
66,Alameda,Hayward,2016,49292.0,46780.0,156114.0
67,Alameda,Hayward,2017,49665.0,47136.0,158290.0
68,Alameda,Hayward,2018,49913.0,47370.0,158693.0
69,Alameda,Hayward,2019,50084.0,47532.0,159433.0
70,Alameda,Incorporated,2010,530350.0,495530.0,1369005.0
71,Alameda,Incorporated,2011,531702.0,497422.0,1385347.0
72,Alameda,Incorporated,2012,533014.0,499890.0,1403213.0
73,Alameda,Incorporated,2013,535429.0,505817.0,1425821.0
74,Alameda,Incorporated,2014,537907.0,507330.0,1444636.0
75,Alameda,Incorporated,2015,540185.0,509121.0,1465535.0
76,Alameda,Incorporated,2016,542605.0,514397.0,1483037.0
77,Alameda,Incorporated,2017,545773.0,516113.0,1497005.0
78,Alameda,Incorporated,2018,550697.0,520383.0,1507626.0
79,Alameda,Incorporated,2019,554627.0,524108.0,1519765.0
80,Alameda,Livermore,2010,30342.0,29134.0,80968.0
81,Alameda,Livermore,2011,30469.0,29258.0,82017.0
82,Alameda,Livermore,2012,30545.0,29335.0,82948.0
83,Alameda,Livermore,2013,30679.0,29473.0,83750.0
84,Alameda,Livermore,2014,30884.0,29663.0,85143.0
85,Alameda,Livermore,2015,31042.0,29811.0,86549.0
86,Alameda,Livermore,2016,31473.0,30233.0,87976.0
87,Alameda,Livermore,2017,31848.0,30576.0,89517.0
88,Alameda,Livermore,2018,32191.0,30899.0,90359.0
89,Alameda,Livermore,2019,32425.0,31124.0,91039.0
90,Alameda,Newark,2010,13414.0,12972.0,42573.0
91,Alameda,Newark,2011,13414.0,12976.0,42958.0
92,Alameda,Newark,2012,13414.0,12984.0,43363.0
93,Alameda,Newark,2013,13416.0,13009.0,43661.0
94,Alameda,Newark,2014,13419.0,12996.0,44062.0
95,Alameda,Newark,2015,13421.0,12990.0,44549.0
96,Alameda,Newark,2016,13470.0,13056.0,44882.0
97,Alameda,Newark,2017,13607.0,13149.0,45479.0
